Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,107.112500,-74.750000,180.000000,bottom
C2,100n,C_0402_1005Metric,107.112500,-75.750000,180.000000,bottom
C3,100n,C_0402_1005Metric,105.430000,-75.730000,90.000000,bottom
C4,100n,C_0402_1005Metric,114.262500,-84.830000,-90.000000,bottom
C5,100n,C_0402_1005Metric,119.512500,-79.850000,0.000000,bottom
C6,100n,C_0402_1005Metric,107.162500,-81.950000,180.000000,bottom
C7,100n,C_0402_1005Metric,112.962500,-73.150000,90.000000,bottom
C8,100n,C_0402_1005Metric,116.712500,-73.150000,90.000000,bottom
C9,100n,C_0402_1005Metric,113.962500,-73.150000,90.000000,bottom
C10,100n,C_0402_1005Metric,115.512500,-73.150000,90.000000,bottom
C12,4.7u,C_0402_1005Metric,112.312500,-84.830000,-90.000000,bottom
C13,100n,C_0402_1005Metric,107.112500,-76.950000,180.000000,bottom
C14,4.7u,C_0402_1005Metric,107.450000,-70.950000,90.000000,bottom
C15,4.7u,C_0402_1005Metric,110.342500,-72.637500,180.000000,bottom
C16,4.7u,C_0402_1005Metric,109.880000,-73.637500,180.000000,bottom
C17,15p,C_0402_1005Metric,118.582500,-87.650000,180.000000,bottom
C18,15p,C_0402_1005Metric,118.592500,-93.000000,0.000000,bottom
C19,1u,C_0402_1005Metric,91.650000,-93.445000,0.000000,bottom
C20,1u,C_0402_1005Metric,94.570000,-94.495000,0.000000,bottom
C21,1u,C_0402_1005Metric,95.950000,-94.045000,90.000000,bottom
C22,1u,C_0402_1005Metric,94.580000,-93.395000,180.000000,bottom
C24,1u,C_0402_1005Metric,93.480000,-83.670000,0.000000,bottom
C25,1u,C_0402_1005Metric,99.420000,-94.500000,0.000000,bottom
C26,1u,C_0402_1005Metric,89.750000,-83.670000,0.000000,bottom
C27,4.7u,C_0402_1005Metric,92.650000,-94.495000,180.000000,bottom
C28,4.7u,C_0402_1005Metric,94.480000,-89.595000,180.000000,bottom
C29,1u,C_0402_1005Metric,98.810000,-77.100000,180.000000,bottom
C30,1u,C_0402_1005Metric,98.380000,-78.860000,90.000000,bottom
C31,1u,C_0402_1005Metric,90.949000,-76.677824,90.000000,bottom
C32,1u,C_0402_1005Metric,90.949000,-78.867824,-90.000000,bottom
C33,22u,C_0402_1005Metric,78.925000,-76.905000,90.000000,bottom
C34,0.1u,C_0402_1005Metric,86.675000,-82.075000,-90.000000,bottom
C35,100u,C_1206_3216Metric,83.825000,-82.105000,180.000000,bottom
C36,100u,C_1206_3216Metric,87.450000,-70.750000,-90.000000,bottom
C37,100u,C_1206_3216Metric,87.450000,-66.100000,90.000000,bottom
D1,MBR0530,D_SOD-123,89.250000,-86.720000,-90.000000,bottom
D2,MBR0530,D_SOD-123,96.800000,-86.670000,-90.000000,bottom
D3,MBR0530,D_SOD-123,93.000000,-86.670000,90.000000,bottom
J1,Micro_SD_Card,microSD_HC_Hirose_DM3D-SF,98.675000,-64.425000,180.000000,bottom
J2,AudioJack3,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,80.500000,-66.400000,180.000000,bottom
J3,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_Amphenol_124019772112A,126.200000,-63.250000,-90.000000,bottom
L1,3.3u,L_pol_2016,110.322500,-70.887500,180.000000,bottom
L2,10u,L_1206_3216Metric,86.850000,-89.970000,90.000000,bottom
Q1,Si1308EDL,SOT-323_SC-70,92.050000,-91.595000,180.000000,bottom
R1,33,R_0402_1005Metric,106.000000,-71.950000,90.000000,bottom
R2,1k,R_0402_1005Metric,123.100000,-69.600000,0.000000,bottom
R3,1k,R_0402_1005Metric,116.262500,-91.010000,-90.000000,bottom
R4,1k,R_0402_1005Metric,123.090000,-83.850000,0.000000,bottom
R5,27,R_0402_1005Metric,117.440000,-63.000000,0.000000,bottom
R6,27,R_0402_1005Metric,117.440000,-64.300000,0.000000,bottom
R7,10k,R_0402_1005Metric,94.960000,-90.955000,0.000000,bottom
R8,3,R_0402_1005Metric,94.960000,-92.095000,0.000000,bottom
R9,10k,R_0402_1005Metric,106.840000,-61.015000,0.000000,bottom
R10,10k,R_0402_1005Metric,106.840000,-62.775000,0.000000,bottom
R11,10k,R_0402_1005Metric,106.840000,-64.575000,0.000000,bottom
R12,10k,R_0402_1005Metric,106.840000,-66.325000,0.000000,bottom
R13,10k,R_0402_1005Metric,106.840000,-68.075000,0.000000,bottom
R21,10k,R_0402_1005Metric,124.200000,-103.890000,90.000000,bottom
R22,3.9k,R_0402_1005Metric,89.949000,-76.677824,90.000000,bottom
R23,3.9k,R_0402_1005Metric,89.690000,-78.880000,90.000000,bottom
R24,3.9k,R_0402_1005Metric,79.950000,-79.450000,-90.000000,bottom
R25,3.9k,R_0402_1005Metric,88.700000,-78.200000,-90.000000,bottom
R26,10k,R_0402_1005Metric,87.135000,-75.005000,180.000000,bottom
R27,10k,R_0402_1005Metric,79.950000,-76.900000,90.000000,bottom
R28,5k1,R_0402_1005Metric,117.450000,-61.750000,180.000000,bottom
R29,5k1,R_0402_1005Metric,117.450000,-65.550000,180.000000,bottom
SW1,SW_Push,SW_Push_1P1T_NO_CK_KMR2,125.850000,-72.900000,-90.000000,bottom
SW2,SW_Push,SW_Push_1P1T_NO_CK_KMR2,125.850000,-80.550000,-90.000000,bottom
U1,RP2350_60QFN,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,112.675000,-78.450000,180.000000,bottom
U2,~,FPC_24_TOP_CONTACTS,92.800000,-96.245000,180.000000,bottom
U4,TS5A23159DGS,VSSOP-10_3x3mm_P0.5mm,94.625000,-77.755000,180.000000,bottom
U5,TDA1308,SOIC-8_3.9x4.9mm_P1.27mm,84.150000,-78.200000,0.000000,bottom
Y1,Crystal_GND24,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,118.612500,-90.350000,-90.000000,bottom
C11,100n,C_0402_1005Metric,115.010000,-76.400000,90.000000,top
C23,1u,C_0402_1005Metric,98.030000,-96.560000,0.000000,top
C38,10u,C_0402_1005Metric,118.920000,-58.550000,0.000000,top
C39,10u,C_0402_1005Metric,120.680000,-61.050000,0.000000,top
R14,10k,R_0402_1005Metric,108.850000,-108.090000,90.000000,top
R15,10k,R_0402_1005Metric,96.250000,-108.100000,90.000000,top
R16,10k,R_0402_1005Metric,108.640000,-103.880000,180.000000,top
R17,10k,R_0402_1005Metric,108.640000,-101.890000,180.000000,top
R18,10k,R_0402_1005Metric,108.640000,-99.900000,180.000000,top
R19,10k,R_0402_1005Metric,125.350000,-78.950000,0.000000,top
R20,10k,R_0402_1005Metric,125.350000,-91.650000,0.000000,top
SW3,RotaryEncoder_Switch_MP,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,111.650000,-99.400000,0.000000,top
SW4,SW_Push,SW_Push_1P1T_NO_CK_KMR2,92.800000,-107.800000,0.000000,top
SW5,SW_Push,SW_Push_1P1T_NO_CK_KMR2,105.400000,-107.800000,0.000000,top
SW6,SW_Push,SW_Push_1P1T_NO_CK_KMR2,125.050000,-88.150000,-90.000000,top
SW7,SW_Push,SW_Push_1P1T_NO_CK_KMR2,125.050000,-75.550000,-90.000000,top
U3,~,RDA5807M module,101.490000,-75.120000,180.000000,top
U6,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,115.300000,-62.700000,180.000000,top

